M,begin,in,fdb,int,w_d,TrErr,TrErr,,alpha,Score
2,1,0.01,0.8,0.01,0.01,0.055317,0.1983,,0.86,504
2,1,0.01,0.8,0.01,0.01,0.056023,0.19845,,0.87,504
2,1,0.01,0.8,0.01,0.01,0.056276,0.19979,,0.88,504
2,1,0.01,0.8,0.01,0.01,0.057082,0.19934,,0.89,504
2,1,0.01,0.8,0.01,0.01,0.058242,0.20009,,0.9,504
2,1,0.01,0.8,0.01,0.01,0.059049,0.20143,,0.91,496
2,1,0.01,0.8,0.01,0.01,0.059805,0.20248,,0.92,496
2,1,0.01,0.8,0.01,0.01,0.059705,0.20547,,0.93,496
2,1,0.01,0.8,0.01,0.01,0.059906,0.20591,,0.94,500
2,1,0.01,0.8,0.01,0.01,0.060763,0.20591,,0.95,500
2,1,0.01,0.8,0.01,0.01,0.060864,0.208,,0.96,496
2,1,0.01,0.8,0.01,0.01,0.06157,0.20666,,0.97,500
2,1,0.01,0.8,0.01,0.01,0.062175,0.20875,,0.98,512
2,1,0.01,0.8,0.01,0.01,0.063133,0.21009,,0.99,500
2,2,0.01,0.8,0.01,0.01,0.035248,0.87009,,,88
2,2,0.01,0.8,0.01,0.01,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
0,0,0,0,0,0,0,0,,,0
