Pech,in,fdb,int,w_d,TrErr,TrErr,Score,,,
,0.1,0.4,0.01,0.01,0.06896,0.23663,488,,,
,0.001,0.6,0.01,0.01,0.14915,0.45175,396,,,
,0.01,0.6,0.01,0.01,0.03865,0.19936,508,,,
,0.1,0.6,0.01,0.01,0.067729,0.23271,500,,,
,0.001,0.8,0.01,0.01,0.19703,0.45257,392,,,
,0.01,0.8,0.01,0.01,0.031172,0.1939,512,,,
,0.1,0.8,0.01,0.01,0.068929,0.23326,480,,,
,0.001,1,0.01,0.01,0.2115,0.38925,404,,,
,0.01,1,0.01,0.01,0.021048,0.20401,512,,,
0.8,0.1,1,0.01,0.01,0.067514,0.23171,496,,475.111111111111,9.83608346913018
,0.001,0,0.01,0.01,0.12075,0.2737,448,,,
,0.01,0,0.01,0.01,0.061671,0.20375,512,,,
,0.1,0,0.01,0.01,0.077581,0.23048,500,,,
,0.001,0.2,0.01,0.01,0.11379,0.2687,444,,,
,0.01,0.2,0.01,0.01,0.054284,0.20225,504,,,
,0.1,0.2,0.01,0.01,0.075967,0.23219,492,,,
,0.001,0.4,0.01,0.01,0.11232,0.31701,420,,,
,0.01,0.4,0.01,0.01,0.047527,0.20188,516,,,
,0.1,0.4,0.01,0.01,0.073546,0.23675,492,,,
,0.001,0.6,0.01,0.01,0.16041,0.43407,396,,,
,0.01,0.6,0.01,0.01,0.040996,0.19845,520,,,
,0.1,0.6,0.01,0.01,0.072462,0.23555,488,,,
,0.001,0.8,0.01,0.01,0.20743,0.44498,396,,,
,0.01,0.8,0.01,0.01,0.034819,0.193,524,,,
,0.1,0.8,0.01,0.01,0.073168,0.23503,492,,,
,0.001,1,0.01,0.01,0.21749,0.37263,432,,,
,0.01,1,0.01,0.01,0.024431,0.20166,500,,,
0.95,0.1,1,0.01,0.01,0.07274,0.23346,484,,475.555555555556,9.38463673173565
,0.001,0,0.01,0.01,0.12075,0.2737,448,,,
,0.01,0,0.01,0.01,0.061671,0.20375,512,,,
,0.1,0,0.01,0.01,0.077581,0.23048,500,,,
,0.001,0.2,0.01,0.01,0.11379,0.2687,444,,,
,0.01,0.2,0.01,0.01,0.054284,0.20225,504,,,
,0.1,0.2,0.01,0.01,0.075967,0.23219,492,,,
,0.001,0.4,0.01,0.01,0.11232,0.31701,420,,,
,0.01,0.4,0.01,0.01,0.047527,0.20188,516,,,
,0.1,0.4,0.01,0.01,0.073546,0.23675,492,,,
,0.001,0.6,0.01,0.01,0.16041,0.43407,396,,,
,0.01,0.6,0.01,0.01,0.040996,0.19845,520,,,
,0.1,0.6,0.01,0.01,0.072462,0.23555,488,,,
,0.001,0.8,0.01,0.01,0.20743,0.44498,396,,,
,0.01,0.8,0.01,0.01,0.034819,0.193,524,,,
,0.1,0.8,0.01,0.01,0.073168,0.23503,492,,,
,0.001,1,0.01,0.01,0.21749,0.37263,432,,,
,0.01,1,0.01,0.01,0.024431,0.20166,500,,,
0.96,0.1,1,0.01,0.01,0.07274,0.23346,484,,475.555555555556,9.33333333333333
,0.001,0,0.01,0.01,0.12075,0.2737,448,,,
,0.01,0,0.01,0.01,0.061671,0.20375,512,,,
,0.1,0,0.01,0.01,0.077581,0.23048,500,,,
,0.001,0.2,0.01,0.01,0.11379,0.2687,444,,,
,0.01,0.2,0.01,0.01,0.054284,0.20225,504,,,
,0.1,0.2,0.01,0.01,0.075967,0.23219,492,,,
,0.001,0.4,0.01,0.01,0.11232,0.31701,420,,,
,0.01,0.4,0.01,0.01,0.047527,0.20188,516,,,
,0.1,0.4,0.01,0.01,0.073546,0.23675,492,,,
,0.001,0.6,0.01,0.01,0.16041,0.43407,396,,,
,0.01,0.6,0.01,0.01,0.040996,0.19845,520,,,
,0.1,0.6,0.01,0.01,0.072462,0.23555,488,,,
,0.001,0.8,0.01,0.01,0.20743,0.44498,396,,,
,0.01,0.8,0.01,0.01,0.034819,0.193,524,,,
,0.1,0.8,0.01,0.01,0.073168,0.23503,492,,,
,0.001,1,0.01,0.01,0.21749,0.37263,432,,,
,0.01,1,0.01,0.01,0.024431,0.20166,500,,,
0.98,0.1,1,0.01,0.01,0.07274,0.23346,484,,475.555555555556,9.33333333333333
,0.001,0,0.01,0.01,0.12075,0.2737,448,,,
,0.01,0,0.01,0.01,0.061671,0.20375,512,,,
,0.1,0,0.01,0.01,0.077581,0.23048,500,,,
,0.001,0.2,0.01,0.01,0.11379,0.2687,444,,,
,0.01,0.2,0.01,0.01,0.054284,0.20225,504,,,
,0.1,0.2,0.01,0.01,0.075967,0.23219,492,,,
,0.001,0.4,0.01,0.01,0.11232,0.31701,420,,,
,0.01,0.4,0.01,0.01,0.047527,0.20188,516,,,
,0.1,0.4,0.01,0.01,0.073546,0.23675,492,,,
,0.001,0.6,0.01,0.01,0.16041,0.43407,396,,,
,0.01,0.6,0.01,0.01,0.040996,0.19845,520,,,
,0.1,0.6,0.01,0.01,0.072462,0.23555,488,,,
,0.001,0.8,0.01,0.01,0.20743,0.44498,396,,,
,0.01,0.8,0.01,0.01,0.034819,0.193,524,,,
,0.1,0.8,0.01,0.01,0.073168,0.23503,492,,,
,0.001,1,0.01,0.01,0.21749,0.37263,432,,,
,0.01,1,0.01,0.01,0.024431,0.20166,500,,,
1,0.1,1,0.01,0.01,0.07274,0.23346,484,,475.555555555556,9.33333333333333
,,,,,,,524,,,
,,,,,,,280,,,
