Pech,in,fdb,int,w_d,TrErr,TrErr,Score,,,
,0.001,0,0.01,0.01,0.10716,0.37117,404,,,
,0.01,0,0.01,0.01,0.04942,0.28678,460,,,
,0.1,0,0.01,0.01,0.065053,0.33458,448,,,
,0.001,0.2,0.01,0.01,0.082451,0.37416,412,,,
,0.01,0.2,0.01,0.01,0.040091,0.27334,468,,,
,0.1,0.2,0.01,0.01,0.058497,0.32114,420,,,
,0.001,0.4,0.01,0.01,0.11246,0.50187,332,,,
,0.01,0.4,0.01,0.01,0.03177,0.25765,472,,,
,0.1,0.4,0.01,0.01,0.050429,0.29574,456,,,
,0.001,0.6,0.01,0.01,0.11901,0.54444,296,,,
,0.01,0.6,0.01,0.01,0.022189,0.25317,468,,,
,0.1,0.6,0.01,0.01,0.044881,0.29276,440,,,
,0.001,0.8,0.01,0.01,0.13767,0.57879,288,,,
,0.01,0.8,0.01,0.01,0.016894,0.25168,428,,,
,0.1,0.8,0.01,0.01,0.042108,0.29724,444,,,
,0.001,1,0.01,0.01,0.15683,0.57207,308,,,
,0.01,1,0.01,0.01,0.014624,0.26438,448,,,
0.1,0.1,1,0.01,0.01,0.043621,0.29873,436,,412.666666666667,14.6318660213923
,0.001,0,0.01,0.01,0.15772,0.34914,416,,,
,0.01,0,0.01,0.01,0.085855,0.23376,504,,,
,0.1,0,0.01,0.01,0.10615,0.28641,460,,,
,0.001,0.2,0.01,0.01,0.14889,0.34989,436,,,
,0.01,0.2,0.01,0.01,0.074004,0.22704,504,,,
,0.1,0.2,0.01,0.01,0.097579,0.27894,468,,,
,0.001,0.4,0.01,0.01,0.16503,0.43503,376,,,
,0.01,0.4,0.01,0.01,0.058497,0.21135,516,,,
,0.1,0.4,0.01,0.01,0.086485,0.2696,476,,,
,0.001,0.6,0.01,0.01,0.18469,0.55414,312,,,
,0.01,0.6,0.01,0.01,0.049924,0.19978,504,,,
,0.1,0.6,0.01,0.01,0.082955,0.2711,456,,,
,0.001,0.8,0.01,0.01,0.22592,0.55713,316,,,
,0.01,0.8,0.01,0.01,0.041982,0.19193,508,,,
,0.1,0.8,0.01,0.01,0.079551,0.26774,452,,,
,0.001,1,0.01,0.01,0.25391,0.49776,356,,,
,0.01,1,0.01,0.01,0.032274,0.18932,504,,,
0.2,0.1,1,0.01,0.01,0.08182,0.26027,456,,445.555555555556,15.4315317252395
,0.001,0,0.01,0.01,0.17297,0.34767,420,,,
,0.01,0,0.01,0.01,0.094604,0.23925,476,,,
,0.1,0,0.01,0.01,0.1174,0.29092,460,,,
,0.001,0.2,0.01,0.01,0.15542,0.35125,404,,,
,0.01,0.2,0.01,0.01,0.07877,0.22969,488,,,
,0.1,0.2,0.01,0.01,0.10671,0.28315,444,,,
,0.001,0.4,0.01,0.01,0.18245,0.44385,368,,,
,0.01,0.4,0.01,0.01,0.065961,0.21953,488,,,
,0.1,0.4,0.01,0.01,0.10217,0.2721,460,,,
,0.001,0.6,0.01,0.01,0.20494,0.51135,356,,,
,0.01,0.6,0.01,0.01,0.050933,0.20759,492,,,
,0.1,0.6,0.01,0.01,0.098941,0.26822,460,,,
,0.001,0.8,0.01,0.01,0.25366,0.53883,324,,,
,0.01,0.8,0.01,0.01,0.041755,0.20639,504,,,
,0.1,0.8,0.01,0.01,0.096924,0.26792,464,,,
,0.001,1,0.01,0.01,0.27201,0.49283,376,,,
,0.01,1,0.01,0.01,0.032375,0.18877,504,,,
0.25,0.1,1,0.01,0.01,0.090872,0.25986,464,,441.777777777778,12.8591046445129
,0.001,0,0.01,0.01,0.19525,0.33149,412,,,
,0.01,0,0.01,0.01,0.10756,0.23518,492,,,
,0.1,0,0.01,0.01,0.13449,0.27057,460,,,
,0.001,0.2,0.01,0.01,0.18844,0.3406,416,,,
,0.01,0.2,0.01,0.01,0.094801,0.22756,488,,,
,0.1,0.2,0.01,0.01,0.12581,0.26684,456,,,
,0.001,0.4,0.01,0.01,0.20624,0.39227,384,,,
,0.01,0.4,0.01,0.01,0.085977,0.22129,496,,,
,0.1,0.4,0.01,0.01,0.12304,0.26221,472,,,
,0.001,0.6,0.01,0.01,0.26171,0.51098,368,,,
,0.01,0.6,0.01,0.01,0.075084,0.21293,496,,,
,0.1,0.6,0.01,0.01,0.11976,0.26221,460,,,
,0.001,0.8,0.01,0.01,0.30457,0.5171,348,,,
,0.01,0.8,0.01,0.01,0.063688,0.20666,512,,,
,0.1,0.8,0.01,0.01,0.118,0.25997,444,,,
,0.001,1,0.01,0.01,0.31284,0.46065,380,,,
,0.01,1,0.01,0.01,0.052645,0.19606,520,,,
0.5,0.1,1,0.01,0.01,0.11981,0.25534,444,,447.111111111111,12.2354058427389
,0.001,0,0.01,0.01,0.19868,0.32879,412,,,
,0.01,0,0.01,0.01,0.11043,0.2389,492,,,
,0.1,0,0.01,0.01,0.13628,0.27235,464,,,
,0.001,0.2,0.01,0.01,0.19656,0.33018,424,,,
,0.01,0.2,0.01,0.01,0.10206,0.23024,488,,,
,0.1,0.2,0.01,0.01,0.1307,0.26777,460,,,
,0.001,0.4,0.01,0.01,0.21105,0.38602,396,,,
,0.01,0.4,0.01,0.01,0.092446,0.22278,492,,,
,0.1,0.4,0.01,0.01,0.12993,0.26697,464,,,
,0.001,0.6,0.01,0.01,0.27731,0.50926,332,,,
,0.01,0.6,0.01,0.01,0.084445,0.21571,508,,,
,0.1,0.6,0.01,0.01,0.12825,0.26379,468,,,
,0.001,0.8,0.01,0.01,0.32743,0.50159,356,,,
,0.01,0.8,0.01,0.01,0.073856,0.20864,504,,,
,0.1,0.8,0.01,0.01,0.12832,0.2614,456,,,
,0.001,1,0.01,0.01,0.32682,0.45212,380,,,
,0.01,1,0.01,0.01,0.060477,0.19869,508,,,
0.75,0.1,1,0.01,0.01,0.13053,0.26299,452,,447.555555555556,12.5323691280714
,0.001,0,0.01,0.01,0.20214,0.33002,408,,,
,0.01,0,0.01,0.01,0.11136,0.2359,488,,,
,0.1,0,0.01,0.01,0.13549,0.27216,464,,,
,0.001,0.2,0.01,0.01,0.19559,0.33166,416,,,
,0.01,0.2,0.01,0.01,0.10207,0.23353,492,,,
,0.1,0.2,0.01,0.01,0.13164,0.26797,464,,,
,0.001,0.4,0.01,0.01,0.2106,0.37139,408,,,
,0.01,0.4,0.01,0.01,0.092778,0.22834,492,,,
,0.1,0.4,0.01,0.01,0.1321,0.26551,460,,,
,0.001,0.6,0.01,0.01,0.2771,0.49904,352,,,
,0.01,0.6,0.01,0.01,0.0845,0.21859,488,,,
,0.1,0.6,0.01,0.01,0.133,0.2677,464,,,
,0.001,0.8,0.01,0.01,0.33391,0.50888,356,,,
,0.01,0.8,0.01,0.01,0.073022,0.21503,504,,,
,0.1,0.8,0.01,0.01,0.13315,0.2656,464,,,
,0.001,1,0.01,0.01,0.33098,0.44355,384,,,
,0.01,1,0.01,0.01,0.062375,0.19827,508,,,
0.8,0.1,1,0.01,0.01,0.13466,0.26606,444,,447.555555555556,11.5736409505015
,0.001,0,0.01,0.01,0.20307,0.32813,408,0,,
,0.01,0,0.01,0.01,0.11293,0.23421,484,-4,,
,0.1,0,0.01,0.01,0.13839,0.27266,452,-12,,
,0.001,0.2,0.01,0.01,0.19969,0.33179,416,0,,
,0.01,0.2,0.01,0.01,0.10433,0.231,488,-4,,
,0.1,0.2,0.01,0.01,0.13502,0.26684,464,0,,
,0.001,0.4,0.01,0.01,0.21522,0.37173,404,-4,,
,0.01,0.4,0.01,0.01,0.095961,0.22279,500,8,,
,0.1,0.4,0.01,0.01,0.13507,0.26497,464,4,,
,0.001,0.6,0.01,0.01,0.28271,0.49761,336,-16,,
,0.01,0.6,0.01,0.01,0.088321,0.22017,492,4,,
,0.1,0.6,0.01,0.01,0.13625,0.26497,468,4,,
,0.001,0.8,0.01,0.01,0.34295,0.5106,344,-12,,
,0.01,0.8,0.01,0.01,0.07753,0.21308,504,0,,
,0.1,0.8,0.01,0.01,0.13648,0.26475,452,-12,,
,0.001,1,0.01,0.01,0.33591,0.44983,376,-8,,
,0.01,1,0.01,0.01,0.066285,0.20069,508,0,,
0.95,0.1,1,0.01,0.01,0.13812,0.2702,444,,444.666666666667,12.5422162930833
,0.001,0,0.01,0.01,0.20307,0.32813,408,,,
,0.01,0,0.01,0.01,0.11293,0.23421,484,,,
,0.1,0,0.01,0.01,0.13839,0.27266,452,,,
,0.001,0.2,0.01,0.01,0.19969,0.33179,416,,,
,0.01,0.2,0.01,0.01,0.10433,0.231,488,,,
