M,begin,in,fdb,int,w_d,TrErr,TrErr,Score,,
2,1,0.1,0.8,0.01,0.01,0.0044879,0.18964,528,,
2,2,0.1,0.8,0.01,0.01,0.0045888,0.17933,508,518,10
3,1,0.1,0.8,0.01,0.01,0.0013615,0.18455,516,,
3,2,0.1,0.8,0.01,0.01,0.0019666,0.2,516,,
3,3,0.1,0.8,0.01,0.01,0.0017398,0.20179,516,516,0
4,1,0.1,0.8,0.01,0.01,0.00010085,0.22634,508,,
4,2,0.1,0.8,0.01,0.01,0.00060508,0.22544,488,,
4,3,0.1,0.8,0.01,0.01,0.00030257,0.22813,516,,
4,4,0.1,0.8,0.01,0.01,0.00030257,0.22574,484,499,7.72442015083765
5,1,0.1,0.8,0.01,0.01,0,0.26465,484,,
5,2,0.1,0.8,0.01,0.01,0,0.28257,492,,
5,3,0.1,0.8,0.01,0.01,0,0.27025,464,,
5,4,0.1,0.8,0.01,0.01,0,0.25793,476,,
5,5,0.1,0.8,0.01,0.01,0,0.26988,484,480,4.73286382647969
6,1,0.1,0.8,0.01,0.01,0,0.27541,476,,
6,2,0.1,0.8,0.01,0.01,0,0.29333,484,,
6,3,0.1,0.8,0.01,0.01,0,0.29019,472,,
6,4,0.1,0.8,0.01,0.01,0,0.30184,464,,
6,5,0.1,0.8,0.01,0.01,0,0.32871,464,,
6,6,0.1,0.8,0.01,0.01,0,0.31438,444,467.333333333333,5.60158707669333
7,1,0.1,0.8,0.01,0.01,0,0.37983,456,,
7,2,0.1,0.8,0.01,0.01,0,0.3558,448,,
7,3,0.1,0.8,0.01,0.01,0,0.372,428,,
7,4,0.1,0.8,0.01,0.01,0,0.38192,436,,
7,5,0.1,0.8,0.01,0.01,0,0.40334,388,,
7,6,0.1,0.8,0.01,0.01,0,0.40073,400,,
7,7,0.1,0.8,0.01,0.01,0,0.3652,452,429.714285714286,9.98502279777612
8,1,0.1,0.8,0.01,0.01,0,0.4997,364,,
8,2,0.1,0.8,0.01,0.01,0,0.47821,352,,
8,3,0.1,0.8,0.01,0.01,0,0.47463,372,,
8,4,0.1,0.8,0.01,0.01,0,0.50567,356,,
8,5,0.1,0.8,0.01,0.01,0,0.46866,396,,
8,6,0.1,0.8,0.01,0.01,0,0.5003,352,,
8,7,0.1,0.8,0.01,0.01,0,0.45672,380,,
8,8,0.1,0.8,0.01,0.01,0,0.48358,352,365.5,5.70400861550141
9,1,0.1,0.8,0.01,0.01,0,0.62189,252,,
9,2,0.1,0.8,0.01,0.01,0,0.60846,276,,
9,3,0.1,0.8,0.01,0.01,0,0.56615,296,,
9,4,0.1,0.8,0.01,0.01,0,0.59302,316,,
9,5,0.1,0.8,0.01,0.01,0,0.62391,268,,
9,6,0.1,0.8,0.01,0.01,0,0.61451,272,,
9,7,0.1,0.8,0.01,0.01,0,0.59369,300,,
9,8,0.1,0.8,0.01,0.01,0,0.64271,252,,
9,9,0.1,0.8,0.01,0.01,0,0.61048,284,279.555555555556,7.22478586978172
10,1,0.1,0.8,0.01,0.01,0,0.76269,164,,
10,2,0.1,0.8,0.01,0.01,0,0.77537,164,,
10,3,0.1,0.8,0.01,0.01,0,0.78955,132,,
10,4,0.1,0.8,0.01,0.01,0,0.7903,140,,
10,5,0.1,0.8,0.01,0.01,0,0.76194,144,,
10,6,0.1,0.8,0.01,0.01,0,0.82612,96,,
10,7,0.1,0.8,0.01,0.01,0,0.76418,152,,
10,8,0.1,0.8,0.01,0.01,0,0.80299,148,,
10,9,0.1,0.8,0.01,0.01,0,0.78657,144,,
10,10,0.1,0.8,0.01,0.01,0,0.79179,148,143.2,6.10427900920512
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,,
