M,begin,in,fdb,int,w_d,TrErr,TrErr,Score,,
2,1,0.01,0.8,0.01,0.01,0.062831,0.21144,508,,
2,2,0.01,0.8,0.01,0.01,0.061167,0.20323,508,508,0
3,1,0.01,0.8,0.01,0.01,0.052795,0.20918,492,,
3,2,0.01,0.8,0.01,0.01,0.052644,0.20493,508,,
3,3,0.01,0.8,0.01,0.01,0.050681,0.20963,508,502.666666666667,5.33333333333333
4,1,0.01,0.8,0.01,0.01,0.045482,0.20305,500,,
4,2,0.01,0.8,0.01,0.01,0.044373,0.20484,496,,
4,3,0.01,0.8,0.01,0.01,0.044579,0.20394,500,,
4,4,0.01,0.8,0.01,0.01,0.041755,0.19916,492,497,1.91485421551268
5,1,0.01,0.8,0.01,0.01,0.038447,0.21948,496,,
5,2,0.01,0.8,0.01,0.01,0.03706,0.22247,488,,
5,3,0.01,0.8,0.01,0.01,0.034165,0.20231,512,,
5,4,0.01,0.8,0.01,0.01,0.039839,0.19746,516,,
5,5,0.01,0.8,0.01,0.01,0.041982,0.19784,512,504.8,5.42586398650021
6,1,0.01,0.8,0.01,0.01,0.034034,0.21137,480,,
6,2,0.01,0.8,0.01,0.01,0.032068,0.20197,492,,
6,3,0.01,0.8,0.01,0.01,0.03177,0.20421,508,,
6,4,0.01,0.8,0.01,0.01,0.030711,0.22257,488,,
6,5,0.01,0.8,0.01,0.01,0.032073,0.22167,468,,
6,6,0.01,0.8,0.01,0.01,0.033585,0.21496,484,486.666666666667,5.43241300999023
7,1,0.01,0.8,0.01,0.01,0.024885,0.21108,500,,
7,2,0.01,0.8,0.01,0.01,0.028945,0.23406,492,,
7,3,0.01,0.8,0.01,0.01,0.02718,0.21996,496,,
7,4,0.01,0.8,0.01,0.01,0.028239,0.22936,484,,
7,5,0.01,0.8,0.01,0.01,0.025591,0.21003,508,,
7,6,0.01,0.8,0.01,0.01,0.024709,0.22153,512,,
7,7,0.01,0.8,0.01,0.01,0.026297,0.21108,508,500,3.80475892484537
8,1,0.01,0.8,0.01,0.01,0.02138,0.22925,484,,
8,2,0.01,0.8,0.01,0.01,0.020371,0.20478,500,,
8,3,0.01,0.8,0.01,0.01,0.016337,0.22985,464,,
8,4,0.01,0.8,0.01,0.01,0.020371,0.22328,476,,
8,5,0.01,0.8,0.01,0.01,0.026825,0.22806,476,,
8,6,0.01,0.8,0.01,0.01,0.024405,0.22985,464,,
8,7,0.01,0.8,0.01,0.01,0.022594,0.2209,504,,
8,8,0.01,0.8,0.01,0.01,0.022998,0.22269,488,482,5.29150262212918
9,1,0.01,0.8,0.01,0.01,0.022918,0.23439,468,,
9,2,0.01,0.8,0.01,0.01,0.019968,0.23103,488,,
9,3,0.01,0.8,0.01,0.01,0.017018,0.22767,476,,
9,4,0.01,0.8,0.01,0.01,0.018834,0.24379,472,,
9,5,0.01,0.8,0.01,0.01,0.019287,0.25453,456,,
9,6,0.01,0.8,0.01,0.01,0.019287,0.22565,480,,
9,7,0.01,0.8,0.01,0.01,0.019061,0.24043,480,,
9,8,0.01,0.8,0.01,0.01,0.017472,0.2411,468,,
9,9,0.01,0.8,0.01,0.01,0.014072,0.22565,476,473.777777777778,3.06312194490894
10,1,0.01,0.8,0.01,0.01,0.013108,0.26567,472,,
10,2,0.01,0.8,0.01,0.01,0.013864,0.23881,448,,
10,3,0.01,0.8,0.01,0.01,0.015129,0.24328,448,,
10,4,0.01,0.8,0.01,0.01,0.018659,0.23806,480,,
10,5,0.01,0.8,0.01,0.01,0.014876,0.24403,472,,
10,6,0.01,0.8,0.01,0.01,0.017398,0.2403,456,,
10,7,0.01,0.8,0.01,0.01,0.015885,0.24328,476,,
10,8,0.01,0.8,0.01,0.01,0.012355,0.23806,484,,
10,9,0.01,0.8,0.01,0.01,0.015633,0.23657,440,,
10,10,0.01,0.8,0.01,0.01,0.014372,0.24552,472,464.8,4.87351116866588
11,1,0.01,0.8,0.01,0.01,0.010538,0.26683,452,,
11,2,0.01,0.8,0.01,0.01,0.010261,0.25123,468,,
11,3,0.01,0.8,0.01,0.01,0.01137,0.24877,452,,
11,4,0.01,0.8,0.01,0.01,0.012479,0.25534,464,,
11,5,0.01,0.8,0.01,0.01,0.015807,0.2578,444,,
11,6,0.01,0.8,0.01,0.01,0.010538,0.26683,472,,
11,7,0.01,0.8,0.01,0.01,0.012479,0.25616,476,,
11,8,0.01,0.8,0.01,0.01,0.01276,0.2619,460,,
11,9,0.01,0.8,0.01,0.01,0.013592,0.25123,476,,
11,10,0.01,0.8,0.01,0.01,0.013037,0.25452,460,,
11,11,0.01,0.8,0.01,0.01,0.01387,0.26765,452,,
12,1,0.01,0.8,0.01,0.01,0.013914,0.27395,428,459.272727272727,4.40885660108442
12,2,0.01,0.8,0.01,0.01,0.008167,0.25694,476,,
12,3,0.01,0.8,0.01,0.01,0.0072617,0.26589,440,,
12,4,0.01,0.8,0.01,0.01,0.012405,0.27663,432,,
12,5,0.01,0.8,0.01,0.01,0.010893,0.29096,416,,
12,6,0.01,0.8,0.01,0.01,0.0099849,0.27126,448,,
12,7,0.01,0.8,0.01,0.01,0.011498,0.26141,448,,
12,8,0.01,0.8,0.01,0.01,0.0081694,0.27305,424,,
12,9,0.01,0.8,0.01,0.01,0.0090772,0.25246,460,,
12,10,0.01,0.8,0.01,0.01,0.01059,0.26141,444,,
12,11,0.01,0.8,0.01,0.01,0.0096823,0.26679,464,,
12,12,0.01,0.8,0.01,0.01,0.014221,0.2453,444,443.666666666667,5.00807428866706
13,1,0.01,0.8,0.01,0.01,0.008194,0.26382,448,,
13,2,0.01,0.8,0.01,0.01,0.0049164,0.25509,456,,
13,3,0.01,0.8,0.01,0.01,0.0065552,0.25897,472,,
13,4,0.01,0.8,0.01,0.01,0.0049164,0.28225,428,,
13,5,0.01,0.8,0.01,0.01,0.006883,0.27934,440,,
13,6,0.01,0.8,0.01,0.01,0.0042609,0.27158,452,,
13,7,0.01,0.8,0.01,0.01,0.0088496,0.25703,452,,
13,8,0.01,0.8,0.01,0.01,0.008194,0.27643,436,,
13,9,0.01,0.8,0.01,0.01,0.010161,0.25218,456,,
13,10,0.01,0.8,0.01,0.01,0.0098328,0.26091,436,,
13,11,0.01,0.8,0.01,0.01,0.008194,0.30359,416,,
13,12,0.01,0.8,0.01,0.01,0.0095051,0.26188,460,,
13,13,0.01,0.8,0.01,0.01,0.0095082,0.26285,440,445.538461538462,4.11472556429077
14,1,0.01,0.8,0.01,0.01,0.0070597,0.28422,440,,
14,2,0.01,0.8,0.01,0.01,0.0067067,0.29258,432,,
14,3,0.01,0.8,0.01,0.01,0.0095305,0.29885,412,,
14,4,0.01,0.8,0.01,0.01,0.0063537,0.28422,428,,
14,5,0.01,0.8,0.01,0.01,0.0035298,0.28422,440,,
14,6,0.01,0.8,0.01,0.01,0.0056477,0.31452,416,,
14,7,0.01,0.8,0.01,0.01,0.0049418,0.30303,428,,
14,8,0.01,0.8,0.01,0.01,0.0049418,0.27377,432,,
14,9,0.01,0.8,0.01,0.01,0.0060007,0.28631,456,,
14,10,0.01,0.8,0.01,0.01,0.0081186,0.29049,460,,
