M,begin,in,fdb,int,w_d,TrErr,TrErr,Score,,
14,11,0.01,0.8,0.01,0.01,0.010589,0.28736,444,,
14,12,0.01,0.8,0.01,0.01,0.0088246,0.2884,420,,
14,13,0.01,0.8,0.01,0.01,0.0063537,0.27377,448,,
14,14,0.01,0.8,0.01,0.01,0.010236,0.27064,448,436,3.88855746014883
15,1,0.01,0.8,0.01,0.01,0.0068053,0.28555,432,,
15,2,0.01,0.8,0.01,0.01,0.0071834,0.30571,428,,
15,3,0.01,0.8,0.01,0.01,0.0056732,0.29003,456,,
15,4,0.01,0.8,0.01,0.01,0.0045386,0.29787,412,,
15,5,0.01,0.8,0.01,0.01,0.005295,0.2766,432,,
15,6,0.01,0.8,0.01,0.01,0.005295,0.33147,396,,
15,7,0.01,0.8,0.01,0.01,0.0037821,0.31915,396,,
15,8,0.01,0.8,0.01,0.01,0.005295,0.30795,420,,
15,9,0.01,0.8,0.01,0.01,0.0049168,0.27212,436,,
15,10,0.01,0.8,0.01,0.01,0.0056732,0.28331,440,,
15,11,0.01,0.8,0.01,0.01,0.0041604,0.30235,396,,
15,12,0.01,0.8,0.01,0.01,0.0045386,0.29563,420,,
15,13,0.01,0.8,0.01,0.01,0.0068079,0.30235,412,,
15,14,0.01,0.8,0.01,0.01,0.0041604,0.29899,444,,
15,15,0.01,0.8,0.01,0.01,0.0034039,0.29675,436,423.733333333333,4.77240746540706
16,1,0.01,0.8,0.01,0.01,0.0028237,0.31146,416,,
16,2,0.01,0.8,0.01,0.01,0.0016136,0.29356,440,,
16,3,0.01,0.8,0.01,0.01,0.0044373,0.2852,460,,
16,4,0.01,0.8,0.01,0.01,0.0020169,0.32339,420,,
16,5,0.01,0.8,0.01,0.01,0.0036305,0.3222,416,,
16,6,0.01,0.8,0.01,0.01,0.007261,0.3222,412,,
16,7,0.01,0.8,0.01,0.01,0.0040339,0.3031,416,,
16,8,0.01,0.8,0.01,0.01,0.0044373,0.32578,428,,
16,9,0.01,0.8,0.01,0.01,0.0032271,0.31384,428,,
16,10,0.01,0.8,0.01,0.01,0.0040339,0.3031,432,,
16,11,0.01,0.8,0.01,0.01,0.0024203,0.30072,420,,
16,12,0.01,0.8,0.01,0.01,0.0052441,0.30191,400,,
16,13,0.01,0.8,0.01,0.01,0.0052441,0.32339,416,,
16,14,0.01,0.8,0.01,0.01,0.0044373,0.32578,396,,
16,15,0.01,0.8,0.01,0.01,0.0044391,0.30072,408,,
16,16,0.01,0.8,0.01,0.01,0.0040355,0.34368,400,419.25,4.03680979652663
17,1,0.01,0.8,0.01,0.01,0.0042845,0.30711,428,,
17,2,0.01,0.8,0.01,0.01,0.0025718,0.31091,392,,
17,3,0.01,0.8,0.01,0.01,0.0034291,0.2868,428,,
17,4,0.01,0.8,0.01,0.01,0.0034291,0.32107,420,,
17,5,0.01,0.8,0.01,0.01,0.0034291,0.32234,412,,
17,6,0.01,0.8,0.01,0.01,0.0025718,0.31091,400,,
17,7,0.01,0.8,0.01,0.01,0.0025718,0.34518,376,,
17,8,0.01,0.8,0.01,0.01,0.0034291,0.3236,416,,
17,9,0.01,0.8,0.01,0.01,0.0025718,0.32741,412,,
17,10,0.01,0.8,0.01,0.01,0.0021432,0.34264,416,,
17,11,0.01,0.8,0.01,0.01,0.0021432,0.32995,408,,
17,12,0.01,0.8,0.01,0.01,0.00085727,0.33249,404,,
17,13,0.01,0.8,0.01,0.01,0.0021432,0.33122,404,,
17,14,0.01,0.8,0.01,0.01,0.0021432,0.32995,408,,
17,15,0.01,0.8,0.01,0.01,0.0012859,0.29315,424,,
17,16,0.01,0.8,0.01,0.01,0.0021432,0.28173,432,,
17,17,0.01,0.8,0.01,0.01,0.0025718,0.30203,400,410.588235294118,3.46310259518471
18,1,0.01,0.8,0.01,0.01,0.0022686,0.32886,428,,
18,2,0.01,0.8,0.01,0.01,0.0022686,0.31544,404,,
18,3,0.01,0.8,0.01,0.01,0.0027223,0.33826,404,,
18,4,0.01,0.8,0.01,0.01,0.0022686,0.31946,420,,
18,5,0.01,0.8,0.01,0.01,0.0027223,0.35973,396,,
18,6,0.01,0.8,0.01,0.01,0.0040835,0.31007,408,,
18,7,0.01,0.8,0.01,0.01,0.0013612,0.33154,408,,
18,8,0.01,0.8,0.01,0.01,0.00090744,0.32886,408,,
18,9,0.01,0.8,0.01,0.01,0.0022696,0.33557,416,,
18,10,0.01,0.8,0.01,0.01,0.0031775,0.34228,388,,
18,11,0.01,0.8,0.01,0.01,0.0013618,0.31812,420,,
18,12,0.01,0.8,0.01,0.01,0.0018157,0.32081,412,,
18,13,0.01,0.8,0.01,0.01,0.0022696,0.32752,416,,
18,14,0.01,0.8,0.01,0.01,0.0018157,0.31007,424,,
18,15,0.01,0.8,0.01,0.01,0.0018157,0.31409,420,,
18,16,0.01,0.8,0.01,0.01,0.0013618,0.30738,416,,
18,17,0.01,0.8,0.01,0.01,0.0027236,0.3047,416,,
18,18,0.01,0.8,0.01,0.01,0.00090785,0.31678,404,411.555555555556,2.37390803548275
19,1,0.01,0.8,0.01,0.01,0,0.32908,412,,
19,2,0.01,0.8,0.01,0.01,0.0038314,0.31773,420,,
19,3,0.01,0.8,0.01,0.01,0.00047893,0.34326,416,,
19,4,0.01,0.8,0.01,0.01,0.00095785,0.33759,396,,
19,5,0.01,0.8,0.01,0.01,0.00047893,0.36312,372,,
19,6,0.01,0.8,0.01,0.01,0.00047893,0.34752,372,,
19,7,0.01,0.8,0.01,0.01,0.0023946,0.32766,420,,
19,8,0.01,0.8,0.01,0.01,0.00047893,0.35461,416,,
19,9,0.01,0.8,0.01,0.01,0.0019157,0.34752,388,,
19,10,0.01,0.8,0.01,0.01,0.00095831,0.34043,392,,
19,11,0.01,0.8,0.01,0.01,0.0014375,0.35603,392,,
19,12,0.01,0.8,0.01,0.01,0.00095831,0.31206,412,,
19,13,0.01,0.8,0.01,0.01,0,0.35319,384,,
19,14,0.01,0.8,0.01,0.01,0.00095831,0.31773,404,,
19,15,0.01,0.8,0.01,0.01,0.00047916,0.34326,400,,
19,16,0.01,0.8,0.01,0.01,0.0014375,0.32908,392,,
19,17,0.01,0.8,0.01,0.01,0.0019166,0.33191,396,,
19,18,0.01,0.8,0.01,0.01,0.0023958,0.34468,364,,
19,19,0.01,0.8,0.01,0.01,0.00047916,0.33475,380,396.210526315789,3.91098239806113
20,1,0.01,0.8,0.01,0.01,0.0010081,0.4,348,,
20,2,0.01,0.8,0.01,0.01,0.0010081,0.3806,372,,
20,3,0.01,0.8,0.01,0.01,0.00050429,0.37015,396,,
20,4,0.01,0.8,0.01,0.01,0.00050429,0.36866,392,,
20,5,0.01,0.8,0.01,0.01,0.00050429,0.37761,368,,
20,6,0.01,0.8,0.01,0.01,0.00050429,0.38507,396,,
20,7,0.01,0.8,0.01,0.01,0.0010086,0.41045,344,,
20,8,0.01,0.8,0.01,0.01,0,0.36716,404,,
20,9,0.01,0.8,0.01,0.01,0.00050429,0.36866,344,,
20,10,0.01,0.8,0.01,0.01,0.00050429,0.38657,364,,
20,11,0.01,0.8,0.01,0.01,0,0.39851,384,,
20,12,0.01,0.8,0.01,0.01,0.00050429,0.3597,384,,
20,13,0.01,0.8,0.01,0.01,0.00050429,0.36418,392,,
20,14,0.01,0.8,0.01,0.01,0.00050429,0.3806,396,,
20,15,0.01,0.8,0.01,0.01,0.0010086,0.35373,376,,
20,16,0.01,0.8,0.01,0.01,0.0020171,0.35373,380,,
20,17,0.01,0.8,0.01,0.01,0.0015129,0.36567,384,,
20,18,0.01,0.8,0.01,0.01,0.0020171,0.36567,372,,
20,19,0.01,0.8,0.01,0.01,0.0015129,0.39254,364,,
20,20,0.01,0.8,0.01,0.01,0.0015129,0.38358,372,376.6,3.94995003299509
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
