M,begin,in,fdb,int,w_d,TrErr,TrErr,Score,,
14,2,0.01,0.8,0.01,0.01,0,0.39603,384,,
14,3,0.01,0.8,0.01,0.01,0,0.38767,376,,
14,4,0.01,0.8,0.01,0.01,0,0.36573,396,,
14,5,0.01,0.8,0.01,0.01,0,0.39185,396,,
14,6,0.01,0.8,0.01,0.01,0,0.40543,392,,
14,7,0.01,0.8,0.01,0.01,0,0.38454,388,,
14,8,0.01,0.8,0.01,0.01,0,0.36991,424,,
14,9,0.01,0.8,0.01,0.01,0,0.33647,420,,
14,10,0.01,0.8,0.01,0.01,0,0.3814,400,,
14,11,0.01,0.8,0.01,0.01,0,0.38454,404,,
14,12,0.01,0.8,0.01,0.01,0,0.41797,404,,
14,13,0.01,0.8,0.01,0.01,0,0.41379,340,,
14,14,0.01,0.8,0.01,0.01,0,0.3814,416,394.285714285714,5.68343319419182
15,1,0.01,0.8,0.01,0.01,0,0.41993,384,,
15,2,0.01,0.8,0.01,0.01,0,0.43001,372,,
15,3,0.01,0.8,0.01,0.01,0,0.46137,352,,
15,4,0.01,0.8,0.01,0.01,0,0.44905,360,,
15,5,0.01,0.8,0.01,0.01,0,0.41209,380,,
15,6,0.01,0.8,0.01,0.01,0,0.47704,340,,
15,7,0.01,0.8,0.01,0.01,0,0.42777,392,,
15,8,0.01,0.8,0.01,0.01,0,0.41993,388,,
15,9,0.01,0.8,0.01,0.01,0,0.42441,388,,
15,10,0.01,0.8,0.01,0.01,0,0.43449,360,,
15,11,0.01,0.8,0.01,0.01,0,0.44457,372,,
15,12,0.01,0.8,0.01,0.01,0,0.43561,400,,
15,13,0.01,0.8,0.01,0.01,0,0.47256,352,,
15,14,0.01,0.8,0.01,0.01,0,0.41993,380,,
15,15,0.01,0.8,0.01,0.01,0,0.45017,388,373.866666666667,4.51649534027548
16,1,0.01,0.8,0.01,0.01,0,0.49642,332,,
16,2,0.01,0.8,0.01,0.01,0,0.4642,364,,
16,3,0.01,0.8,0.01,0.01,0,0.47375,364,,
16,4,0.01,0.8,0.01,0.01,0,0.4821,352,,
16,5,0.01,0.8,0.01,0.01,0,0.48687,340,,
16,6,0.01,0.8,0.01,0.01,0,0.49284,336,,
16,7,0.01,0.8,0.01,0.01,0,0.4821,328,,
16,8,0.01,0.8,0.01,0.01,0,0.4642,360,,
16,9,0.01,0.8,0.01,0.01,0,0.47255,336,,
16,10,0.01,0.8,0.01,0.01,0,0.48091,360,,
16,11,0.01,0.8,0.01,0.01,0,0.47733,360,,
16,12,0.01,0.8,0.01,0.01,0,0.46659,368,,
16,13,0.01,0.8,0.01,0.01,0,0.48329,348,,
16,14,0.01,0.8,0.01,0.01,0,0.46062,364,,
16,15,0.01,0.8,0.01,0.01,0,0.48926,340,,
16,16,0.01,0.8,0.01,0.01,0,0.51313,340,349.5,3.36402536653139
17,1,0.01,0.8,0.01,0.01,0,0.57487,276,,
17,2,0.01,0.8,0.01,0.01,0,0.54569,328,,
17,3,0.01,0.8,0.01,0.01,0,0.56091,304,,
17,4,0.01,0.8,0.01,0.01,0,0.53934,304,,
17,5,0.01,0.8,0.01,0.01,0,0.61041,272,,
17,6,0.01,0.8,0.01,0.01,0,0.51777,320,,
17,7,0.01,0.8,0.01,0.01,0,0.53173,296,,
17,8,0.01,0.8,0.01,0.01,0,0.53934,304,,
17,9,0.01,0.8,0.01,0.01,0,0.58629,292,,
17,10,0.01,0.8,0.01,0.01,0,0.54695,320,,
17,11,0.01,0.8,0.01,0.01,0,0.54695,316,,
17,12,0.01,0.8,0.01,0.01,0,0.54822,284,,
17,13,0.01,0.8,0.01,0.01,0,0.49873,348,,
17,14,0.01,0.8,0.01,0.01,0,0.58122,284,,
17,15,0.01,0.8,0.01,0.01,0,0.53426,316,,
17,16,0.01,0.8,0.01,0.01,0,0.55457,316,,
17,17,0.01,0.8,0.01,0.01,0,0.54442,316,305.647058823529,4.83928560028309
18,1,0.01,0.8,0.01,0.01,0,0.62819,268,,
18,2,0.01,0.8,0.01,0.01,0,0.64966,240,,
18,3,0.01,0.8,0.01,0.01,0,0.64295,244,,
18,4,0.01,0.8,0.01,0.01,0,0.59866,288,,
18,5,0.01,0.8,0.01,0.01,0,0.58792,248,,
18,6,0.01,0.8,0.01,0.01,0,0.60537,252,,
18,7,0.01,0.8,0.01,0.01,0,0.61074,248,,
18,8,0.01,0.8,0.01,0.01,0,0.61074,268,,
18,9,0.01,0.8,0.01,0.01,0,0.62013,252,,
18,10,0.01,0.8,0.01,0.01,0,0.60671,272,,
18,11,0.01,0.8,0.01,0.01,0,0.59732,252,,
18,12,0.01,0.8,0.01,0.01,0,0.56242,304,,
18,13,0.01,0.8,0.01,0.01,0,0.64564,212,,
18,14,0.01,0.8,0.01,0.01,0,0.57181,288,,
18,15,0.01,0.8,0.01,0.01,0,0.58658,284,,
18,16,0.01,0.8,0.01,0.01,0,0.56644,280,,
18,17,0.01,0.8,0.01,0.01,0,0.61208,268,,
18,18,0.01,0.8,0.01,0.01,0,0.62685,248,262,5.21686556032545
19,1,0.01,0.8,0.01,0.01,0,0.71348,204,,
19,2,0.01,0.8,0.01,0.01,0,0.70355,232,,
19,3,0.01,0.8,0.01,0.01,0,0.73191,172,,
19,4,0.01,0.8,0.01,0.01,0,0.69645,192,,
19,5,0.01,0.8,0.01,0.01,0,0.74043,148,,
19,6,0.01,0.8,0.01,0.01,0,0.70638,200,,
19,7,0.01,0.8,0.01,0.01,0,0.71348,192,,
19,8,0.01,0.8,0.01,0.01,0,0.72057,180,,
19,9,0.01,0.8,0.01,0.01,0,0.7078,156,,
19,10,0.01,0.8,0.01,0.01,0,0.73333,152,,
19,11,0.01,0.8,0.01,0.01,0,0.74468,184,,
19,12,0.01,0.8,0.01,0.01,0,0.70922,200,,
19,13,0.01,0.8,0.01,0.01,0,0.69787,208,,
19,14,0.01,0.8,0.01,0.01,0,0.71348,172,,
19,15,0.01,0.8,0.01,0.01,0,0.71773,180,,
19,16,0.01,0.8,0.01,0.01,0,0.68794,216,,
19,17,0.01,0.8,0.01,0.01,0,0.70638,184,,
19,18,0.01,0.8,0.01,0.01,0,0.73901,176,,
19,19,0.01,0.8,0.01,0.01,0,0.73191,172,185.263157894737,4.99873791396719
20,1,0.01,0.8,0.01,0.01,0,0.75672,148,,
20,2,0.01,0.8,0.01,0.01,0,0.72985,172,,
20,3,0.01,0.8,0.01,0.01,0,0.7209,172,,
20,4,0.01,0.8,0.01,0.01,0,0.77463,156,,
20,5,0.01,0.8,0.01,0.01,0,0.71642,172,,
20,6,0.01,0.8,0.01,0.01,0,0.74179,172,,
20,7,0.01,0.8,0.01,0.01,0,0.68358,220,,
20,8,0.01,0.8,0.01,0.01,0,0.72985,180,,
20,9,0.01,0.8,0.01,0.01,0,0.78657,108,,
20,10,0.01,0.8,0.01,0.01,0,0.69552,204,,
20,11,0.01,0.8,0.01,0.01,0,0.73284,172,,
20,12,0.01,0.8,0.01,0.01,0,0.73134,188,,
20,13,0.01,0.8,0.01,0.01,0,0.74328,164,,
20,14,0.01,0.8,0.01,0.01,0,0.71493,196,,
20,15,0.01,0.8,0.01,0.01,0,0.75075,140,,
20,16,0.01,0.8,0.01,0.01,0,0.74478,160,,
20,17,0.01,0.8,0.01,0.01,0,0.66269,252,,
20,18,0.01,0.8,0.01,0.01,0,0.73881,180,,
20,19,0.01,0.8,0.01,0.01,0,0.71493,192,,
20,20,0.01,0.8,0.01,0.01,0,0.70448,204,177.6,6.81422660399009
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
