M,begin,in,fdb,int,w_d,TrErr,TrErr,Score,,
14,3,0.01,0.2,0.01,0.01,0,0.4629,352,,
14,4,0.01,0.2,0.01,0.01,0,0.4629,356,,
14,5,0.01,0.2,0.01,0.01,0,0.44828,332,,
14,6,0.01,0.2,0.01,0.01,0,0.4744,356,,
14,7,0.01,0.2,0.01,0.01,0,0.40961,388,,
14,8,0.01,0.2,0.01,0.01,0,0.43051,360,,
14,9,0.01,0.2,0.01,0.01,0,0.42215,360,,
14,10,0.01,0.2,0.01,0.01,0,0.45664,348,,
14,11,0.01,0.2,0.01,0.01,0,0.4441,360,,
14,12,0.01,0.2,0.01,0.01,0,0.47649,352,,
14,13,0.01,0.2,0.01,0.01,0,0.46082,360,,
14,14,0.01,0.2,0.01,0.01,0,0.45977,340,354.285714285714,4.49105162973811
15,1,0.01,0.2,0.01,0.01,0,0.52856,296,,
15,2,0.01,0.2,0.01,0.01,0,0.50056,316,,
15,3,0.01,0.2,0.01,0.01,0,0.4748,320,,
15,4,0.01,0.2,0.01,0.01,0,0.53527,280,,
15,5,0.01,0.2,0.01,0.01,0,0.4692,340,,
15,6,0.01,0.2,0.01,0.01,0,0.47816,312,,
15,7,0.01,0.2,0.01,0.01,0,0.53303,304,,
15,8,0.01,0.2,0.01,0.01,0,0.51064,312,,
15,9,0.01,0.2,0.01,0.01,0,0.50168,332,,
15,10,0.01,0.2,0.01,0.01,0,0.514,308,,
15,11,0.01,0.2,0.01,0.01,0,0.54199,296,,
15,12,0.01,0.2,0.01,0.01,0,0.49944,360,,
15,13,0.01,0.2,0.01,0.01,0,0.53191,320,,
15,14,0.01,0.2,0.01,0.01,0,0.48488,324,,
15,15,0.01,0.2,0.01,0.01,0,0.49048,348,317.866666666667,5.42118126880169
16,1,0.01,0.2,0.01,0.01,0,0.49761,312,,
16,2,0.01,0.2,0.01,0.01,0,0.53103,300,,
16,3,0.01,0.2,0.01,0.01,0,0.51313,328,,
16,4,0.01,0.2,0.01,0.01,0,0.57041,284,,
16,5,0.01,0.2,0.01,0.01,0,0.55251,304,,
16,6,0.01,0.2,0.01,0.01,0,0.52983,332,,
16,7,0.01,0.2,0.01,0.01,0,0.54654,296,,
16,8,0.01,0.2,0.01,0.01,0,0.55489,308,,
16,9,0.01,0.2,0.01,0.01,0,0.52864,332,,
16,10,0.01,0.2,0.01,0.01,0,0.57637,276,,
16,11,0.01,0.2,0.01,0.01,0,0.49045,348,,
16,12,0.01,0.2,0.01,0.01,0,0.57995,272,,
16,13,0.01,0.2,0.01,0.01,0,0.5179,316,,
16,14,0.01,0.2,0.01,0.01,0,0.51432,328,,
16,15,0.01,0.2,0.01,0.01,0,0.53819,304,,
16,16,0.01,0.2,0.01,0.01,0,0.54177,296,308.5,5.3650100962937
17,1,0.01,0.2,0.01,0.01,0,0.62056,236,,
17,2,0.01,0.2,0.01,0.01,0,0.60025,248,,
17,3,0.01,0.2,0.01,0.01,0,0.62563,252,,
17,4,0.01,0.2,0.01,0.01,0,0.64086,248,,
17,5,0.01,0.2,0.01,0.01,0,0.63959,240,,
17,6,0.01,0.2,0.01,0.01,0,0.5698,280,,
17,7,0.01,0.2,0.01,0.01,0,0.59391,260,,
17,8,0.01,0.2,0.01,0.01,0,0.60787,280,,
17,9,0.01,0.2,0.01,0.01,0,0.66497,180,,
17,10,0.01,0.2,0.01,0.01,0,0.58503,264,,
17,11,0.01,0.2,0.01,0.01,0,0.60279,264,,
17,12,0.01,0.2,0.01,0.01,0,0.61294,236,,
17,13,0.01,0.2,0.01,0.01,0,0.55964,248,,
17,14,0.01,0.2,0.01,0.01,0,0.60025,244,,
17,15,0.01,0.2,0.01,0.01,0,0.61675,264,,
17,16,0.01,0.2,0.01,0.01,0,0.61168,272,,
17,17,0.01,0.2,0.01,0.01,0,0.63452,240,250.352941176471,5.59473306443513
18,1,0.01,0.2,0.01,0.01,0,0.64832,208,,
18,2,0.01,0.2,0.01,0.01,0,0.64564,252,,
18,3,0.01,0.2,0.01,0.01,0,0.6443,224,,
18,4,0.01,0.2,0.01,0.01,0,0.64698,236,,
18,5,0.01,0.2,0.01,0.01,0,0.67651,204,,
18,6,0.01,0.2,0.01,0.01,0,0.64027,220,,
18,7,0.01,0.2,0.01,0.01,0,0.65638,236,,
18,8,0.01,0.2,0.01,0.01,0,0.68322,180,,
18,9,0.01,0.2,0.01,0.01,0,0.67248,204,,
18,10,0.01,0.2,0.01,0.01,0,0.67248,216,,
18,11,0.01,0.2,0.01,0.01,0,0.63624,244,,
18,12,0.01,0.2,0.01,0.01,0,0.63758,236,,
18,13,0.01,0.2,0.01,0.01,0,0.68322,188,,
18,14,0.01,0.2,0.01,0.01,0,0.62685,232,,
18,15,0.01,0.2,0.01,0.01,0,0.64161,236,,
18,16,0.01,0.2,0.01,0.01,0,0.66443,228,,
18,17,0.01,0.2,0.01,0.01,0,0.64832,216,,
18,18,0.01,0.2,0.01,0.01,0,0.6443,216,220.888888888889,4.4873743643191
19,1,0.01,0.2,0.01,0.01,0,0.71489,168,,
19,2,0.01,0.2,0.01,0.01,0,0.7617,156,,
19,3,0.01,0.2,0.01,0.01,0,0.76454,172,,
19,4,0.01,0.2,0.01,0.01,0,0.7461,152,,
19,5,0.01,0.2,0.01,0.01,0,0.74326,176,,
19,6,0.01,0.2,0.01,0.01,0,0.73617,196,,
19,7,0.01,0.2,0.01,0.01,0,0.75887,136,,
19,8,0.01,0.2,0.01,0.01,0,0.78582,140,,
19,9,0.01,0.2,0.01,0.01,0,0.73191,140,,
19,10,0.01,0.2,0.01,0.01,0,0.71915,160,,
19,11,0.01,0.2,0.01,0.01,0,0.72199,148,,
19,12,0.01,0.2,0.01,0.01,0,0.71489,188,,
19,13,0.01,0.2,0.01,0.01,0,0.7305,160,,
19,14,0.01,0.2,0.01,0.01,0,0.7773,128,,
19,15,0.01,0.2,0.01,0.01,0,0.75887,128,,
19,16,0.01,0.2,0.01,0.01,0,0.70922,192,,
19,17,0.01,0.2,0.01,0.01,0,0.77447,124,,
19,18,0.01,0.2,0.01,0.01,0,0.73759,160,,
19,19,0.01,0.2,0.01,0.01,0,0.75461,132,155.578947368421,5.10836705548165
20,1,0.01,0.2,0.01,0.01,0,0.74776,168,,
20,2,0.01,0.2,0.01,0.01,0,0.76716,148,,
20,3,0.01,0.2,0.01,0.01,0,0.73582,172,,
20,4,0.01,0.2,0.01,0.01,0,0.72388,164,,
20,5,0.01,0.2,0.01,0.01,0,0.77015,136,,
20,6,0.01,0.2,0.01,0.01,0,0.77612,128,,
20,7,0.01,0.2,0.01,0.01,0,0.76418,120,,
20,8,0.01,0.2,0.01,0.01,0,0.74627,168,,
20,9,0.01,0.2,0.01,0.01,0,0.7403,176,,
20,10,0.01,0.2,0.01,0.01,0,0.77463,140,,
20,11,0.01,0.2,0.01,0.01,0,0.81045,96,,
20,12,0.01,0.2,0.01,0.01,0,0.74627,164,,
20,13,0.01,0.2,0.01,0.01,0,0.74478,152,,
20,14,0.01,0.2,0.01,0.01,0,0.75672,144,,
20,15,0.01,0.2,0.01,0.01,0,0.7403,144,,
20,16,0.01,0.2,0.01,0.01,0,0.76866,148,,
20,17,0.01,0.2,0.01,0.01,0,0.76119,164,,
20,18,0.01,0.2,0.01,0.01,0,0.72388,144,,
20,19,0.01,0.2,0.01,0.01,0,0.74776,160,,
20,20,0.01,0.2,0.01,0.01,0,0.74478,172,150.4,4.49935667916157
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
