Pech,in,fdb,int,w_d,TrErr,TrErr,Score,,
,0.01,0.6,0.01,0.01,0.014901,0.18225,528,,
,0.1,0.6,0.01,0.01,0.02491,0.20136,524,,
,0.001,0.8,0.01,0.01,0.087464,0.3892,432,,
,0.01,0.8,0.01,0.01,0.0098583,0.17904,532,,
,0.1,0.8,0.01,0.01,0.024709,0.20001,524,,
,0.001,1,0.01,0.01,0.10819,0.32373,420,,
,0.01,1,0.01,0.01,0.0064545,0.18807,520,,
0.96,0.1,1,0.01,0.01,0.024532,0.19643,520,500,
,0.001,0,0.01,0.01,0.056502,0.22667,496,,
,0.01,0,0.01,0.01,0.03013,0.19509,528,,
,0.1,0,0.01,0.01,0.032752,0.1971,520,,
,0.001,0.2,0.01,0.01,0.049039,0.23376,484,,
,0.01,0.2,0.01,0.01,0.024759,0.19068,528,,
,0.1,0.2,0.01,0.01,0.030886,0.19651,528,,
,0.001,0.4,0.01,0.01,0.040215,0.25706,460,,
,0.01,0.4,0.01,0.01,0.01949,0.18531,528,,
,0.1,0.4,0.01,0.01,0.027054,0.20158,516,,
,0.001,0.6,0.01,0.01,0.051409,0.38659,412,,
,0.01,0.6,0.01,0.01,0.014901,0.18225,528,,
,0.1,0.6,0.01,0.01,0.02491,0.20136,524,,
,0.001,0.8,0.01,0.01,0.087464,0.3892,432,,
,0.01,0.8,0.01,0.01,0.0098583,0.17904,532,,
,0.1,0.8,0.01,0.01,0.024709,0.20001,524,,
,0.001,1,0.01,0.01,0.10819,0.32373,420,,
,0.01,1,0.01,0.01,0.0064545,0.18807,520,,
0.98,0.1,1,0.01,0.01,0.024532,0.19643,520,500,
,0.001,0,0.01,0.01,0.056502,0.22667,496,,
,0.01,0,0.01,0.01,0.03013,0.19509,528,,
,0.1,0,0.01,0.01,0.032752,0.1971,520,,
,0.001,0.2,0.01,0.01,0.049039,0.23376,484,,
,0.01,0.2,0.01,0.01,0.024759,0.19068,528,,
,0.1,0.2,0.01,0.01,0.030886,0.19651,528,,
,0.001,0.4,0.01,0.01,0.040215,0.25706,460,,
,0.01,0.4,0.01,0.01,0.01949,0.18531,528,,
,0.1,0.4,0.01,0.01,0.027054,0.20158,516,,
,0.001,0.6,0.01,0.01,0.051409,0.38659,412,,
,0.01,0.6,0.01,0.01,0.014901,0.18225,528,,
,0.1,0.6,0.01,0.01,0.02491,0.20136,524,,
,0.001,0.8,0.01,0.01,0.087464,0.3892,432,,
,0.01,0.8,0.01,0.01,0.0098583,0.17904,532,,
,0.1,0.8,0.01,0.01,0.024709,0.20001,524,,
,0.001,1,0.01,0.01,0.10819,0.32373,420,,
,0.01,1,0.01,0.01,0.0064545,0.18807,520,,
1,0.1,1,0.01,0.01,0.024532,0.19643,520,500,
,,,,,,,536,,
,,,,,,,104,,
