M,begin,in,fdb,int,w_d,TrErr,TrErr,Score,,
2,1,0.01,0.2,0.01,0.01,0.044778,0.20756,516,,
2,2,0.01,0.2,0.01,0.01,0.043064,0.20502,512,514,2
3,1,0.01,0.2,0.01,0.01,0.033129,0.21523,512,,
3,2,0.01,0.2,0.01,0.01,0.033583,0.20851,500,,
3,3,0.01,0.2,0.01,0.01,0.034644,0.20761,504,505.333333333333,3.52766841475279
4,1,0.01,0.2,0.01,0.01,0.027632,0.2117,512,,
4,2,0.01,0.2,0.01,0.01,0.025716,0.2123,500,,
4,3,0.01,0.2,0.01,0.01,0.023399,0.2117,484,,
4,4,0.01,0.2,0.01,0.01,0.021583,0.21648,516,503,7.18795288428261
5,1,0.01,0.2,0.01,0.01,0.018908,0.23479,492,,
5,2,0.01,0.2,0.01,0.01,0.018908,0.23479,496,,
5,3,0.01,0.2,0.01,0.01,0.01475,0.21799,496,,
5,4,0.01,0.2,0.01,0.01,0.019919,0.22994,484,,
5,5,0.01,0.2,0.01,0.01,0.016263,0.21389,516,496.8,5.27636238330917
6,1,0.01,0.2,0.01,0.01,0.011345,0.22615,492,,
6,2,0.01,0.2,0.01,0.01,0.010588,0.23601,484,,
6,3,0.01,0.2,0.01,0.01,0.010893,0.23735,500,,
6,4,0.01,0.2,0.01,0.01,0.012859,0.23914,488,,
6,5,0.01,0.2,0.01,0.01,0.0118,0.22212,472,,
6,6,0.01,0.2,0.01,0.01,0.012557,0.22078,508,490.666666666667,5.12943574977903
7,1,0.01,0.2,0.01,0.01,0.0070597,0.22832,496,,
7,2,0.01,0.2,0.01,0.01,0.0077656,0.2581,484,,
7,3,0.01,0.2,0.01,0.01,0.0081186,0.2419,500,,
7,4,0.01,0.2,0.01,0.01,0.0095305,0.23302,496,,
7,5,0.01,0.2,0.01,0.01,0.0082951,0.25183,484,,
7,6,0.01,0.2,0.01,0.01,0.0088246,0.24242,488,,
7,7,0.01,0.2,0.01,0.01,0.0095305,0.25862,480,489.714285714286,2.87612740391267
8,1,0.01,0.2,0.01,0.01,0.004639,0.24239,496,,
8,2,0.01,0.2,0.01,0.01,0.0050424,0.25313,492,,
8,3,0.01,0.2,0.01,0.01,0.0048407,0.2406,492,,
8,4,0.01,0.2,0.01,0.01,0.0050424,0.24358,516,,
8,5,0.01,0.2,0.01,0.01,0.0038322,0.25134,480,,
8,6,0.01,0.2,0.01,0.01,0.0034288,0.24955,500,,
8,7,0.01,0.2,0.01,0.01,0.0054468,0.25612,464,,
8,8,0.01,0.2,0.01,0.01,0.0044382,0.25254,484,490.5,5.39510360022334
9,1,0.01,0.2,0.01,0.01,0.0018153,0.26326,488,,
9,2,0.01,0.2,0.01,0.01,0.0038575,0.25923,472,,
9,3,0.01,0.2,0.01,0.01,0.0015884,0.26931,476,,
9,4,0.01,0.2,0.01,0.01,0.0022691,0.25588,468,,
9,5,0.01,0.2,0.01,0.01,0.0018153,0.26528,468,,
9,6,0.01,0.2,0.01,0.01,0.0027229,0.25655,476,,
9,7,0.01,0.2,0.01,0.01,0.0015884,0.25923,472,,
9,8,0.01,0.2,0.01,0.01,0.0020422,0.26461,452,,
9,9,0.01,0.2,0.01,0.01,0.0024966,0.26864,476,472,3.19722101554181
10,1,0.01,0.2,0.01,0.01,0.0022687,0.31343,448,,
10,2,0.01,0.2,0.01,0.01,0.0025208,0.30075,440,,
10,3,0.01,0.2,0.01,0.01,0.0012607,0.2694,480,,
10,4,0.01,0.2,0.01,0.01,0.001765,0.29478,436,,
10,5,0.01,0.2,0.01,0.01,0.00075643,0.28657,476,,
10,6,0.01,0.2,0.01,0.01,0.00050429,0.2903,456,,
10,7,0.01,0.2,0.01,0.01,0.0012607,0.2791,472,,
10,8,0.01,0.2,0.01,0.01,0.0020171,0.28806,464,,
10,9,0.01,0.2,0.01,0.01,0.00075643,0.27463,444,,
10,10,0.01,0.2,0.01,0.01,0.001765,0.28284,468,458.4,4.99599839871872
11,1,0.01,0.2,0.01,0.01,0,0.29475,448,,
11,2,0.01,0.2,0.01,0.01,0,0.30542,440,,
11,3,0.01,0.2,0.01,0.01,0.00083195,0.28407,472,,
11,4,0.01,0.2,0.01,0.01,0.00027732,0.29639,460,,
11,5,0.01,0.2,0.01,0.01,0.00055463,0.28407,476,,
11,6,0.01,0.2,0.01,0.01,0.00055463,0.2931,476,,
11,7,0.01,0.2,0.01,0.01,0.00055463,0.29228,476,,
11,8,0.01,0.2,0.01,0.01,0.00027739,0.30049,468,,
11,9,0.01,0.2,0.01,0.01,0.00055479,0.30296,444,,
11,10,0.01,0.2,0.01,0.01,0.0011096,0.30378,448,,
11,11,0.01,0.2,0.01,0.01,0.00027739,0.30706,444,,
12,1,0.01,0.2,0.01,0.01,0,0.32945,460,460.363636363636,4.29645250552492
12,2,0.01,0.2,0.01,0.01,0.00030248,0.34467,444,,
12,3,0.01,0.2,0.01,0.01,0,0.33124,428,,
12,4,0.01,0.2,0.01,0.01,0.00030257,0.33751,448,,
