M,begin,in,fdb,int,w_d,TrErr,TrErr,Score,,
12,5,0.01,0.2,0.01,0.01,0,0.29454,448,,
12,6,0.01,0.2,0.01,0.01,0,0.3017,440,,
12,7,0.01,0.2,0.01,0.01,0.00030257,0.32229,420,,
12,8,0.01,0.2,0.01,0.01,0,0.33572,428,,
12,9,0.01,0.2,0.01,0.01,0,0.31603,464,,
12,10,0.01,0.2,0.01,0.01,0,0.32587,464,,
12,11,0.01,0.2,0.01,0.01,0.00030257,0.32766,432,,
12,12,0.01,0.2,0.01,0.01,0,0.31782,460,444.666666666667,4.42673238359398
13,1,0.01,0.2,0.01,0.01,0,0.31426,436,,
13,2,0.01,0.2,0.01,0.01,0,0.36081,416,,
13,3,0.01,0.2,0.01,0.01,0,0.35112,432,,
13,4,0.01,0.2,0.01,0.01,0,0.36275,424,,
13,5,0.01,0.2,0.01,0.01,0,0.33754,424,,
13,6,0.01,0.2,0.01,0.01,0,0.35403,432,,
13,7,0.01,0.2,0.01,0.01,0,0.37342,404,,
13,8,0.01,0.2,0.01,0.01,0,0.3676,424,,
13,9,0.01,0.2,0.01,0.01,0,0.36178,408,,
13,10,0.01,0.2,0.01,0.01,0,0.36275,424,,
13,11,0.01,0.2,0.01,0.01,0,0.35112,448,,
13,12,0.01,0.2,0.01,0.01,0,0.3453,440,,
13,13,0.01,0.2,0.01,0.01,0,0.34336,432,426.461538461539,3.40552978787364
14,1,0.01,0.2,0.01,0.01,0,0.34692,452,,
14,2,0.01,0.2,0.01,0.01,0.00035298,0.38245,392,,
14,3,0.01,0.2,0.01,0.01,0,0.40543,384,,
14,4,0.01,0.2,0.01,0.01,0,0.40334,412,,
14,5,0.01,0.2,0.01,0.01,0,0.37827,416,,
14,6,0.01,0.2,0.01,0.01,0,0.40439,416,,
14,7,0.01,0.2,0.01,0.01,0,0.36991,412,,
14,8,0.01,0.2,0.01,0.01,0,0.36782,416,,
14,9,0.01,0.2,0.01,0.01,0,0.3605,432,,
14,10,0.01,0.2,0.01,0.01,0,0.3814,396,,
14,11,0.01,0.2,0.01,0.01,0.00035298,0.36573,408,,
14,12,0.01,0.2,0.01,0.01,0,0.3908,408,,
14,13,0.01,0.2,0.01,0.01,0,0.37095,428,,
14,14,0.01,0.2,0.01,0.01,0,0.37931,408,412.857142857143,4.55836044225411
15,1,0.01,0.2,0.01,0.01,0,0.45129,368,,
15,2,0.01,0.2,0.01,0.01,0,0.43449,384,,
15,3,0.01,0.2,0.01,0.01,0,0.41209,376,,
15,4,0.01,0.2,0.01,0.01,0,0.46361,408,,
15,5,0.01,0.2,0.01,0.01,0,0.41545,396,,
15,6,0.01,0.2,0.01,0.01,0,0.42777,400,,
15,7,0.01,0.2,0.01,0.01,0,0.44233,360,,
15,8,0.01,0.2,0.01,0.01,0,0.41993,376,,
15,9,0.01,0.2,0.01,0.01,0,0.43113,400,,
15,10,0.01,0.2,0.01,0.01,0,0.43673,372,,
15,11,0.01,0.2,0.01,0.01,0,0.46025,340,,
15,12,0.01,0.2,0.01,0.01,0,0.42889,408,,
15,13,0.01,0.2,0.01,0.01,0,0.43337,384,,
15,14,0.01,0.2,0.01,0.01,0,0.39194,380,,
15,15,0.01,0.2,0.01,0.01,0,0.42217,404,383.733333333333,5.00615494182784
16,1,0.01,0.2,0.01,0.01,0,0.47255,356,,
16,2,0.01,0.2,0.01,0.01,0,0.47494,376,,
16,3,0.01,0.2,0.01,0.01,0,0.45107,384,,
16,4,0.01,0.2,0.01,0.01,0,0.48329,356,,
16,5,0.01,0.2,0.01,0.01,0,0.46897,372,,
16,6,0.01,0.2,0.01,0.01,0,0.45943,408,,
16,7,0.01,0.2,0.01,0.01,0,0.48449,340,,
16,8,0.01,0.2,0.01,0.01,0,0.43317,412,,
16,9,0.01,0.2,0.01,0.01,0,0.45346,380,,
16,10,0.01,0.2,0.01,0.01,0,0.47136,360,,
16,11,0.01,0.2,0.01,0.01,0,0.44988,392,,
16,12,0.01,0.2,0.01,0.01,0,0.47613,384,,
16,13,0.01,0.2,0.01,0.01,0,0.4642,372,,
16,14,0.01,0.2,0.01,0.01,0,0.44391,384,,
16,15,0.01,0.2,0.01,0.01,0,0.48568,352,,
16,16,0.01,0.2,0.01,0.01,0,0.48091,364,374.5,4.93794829188534
17,1,0.01,0.2,0.01,0.01,0,0.53046,340,,
17,2,0.01,0.2,0.01,0.01,0,0.54695,348,,
17,3,0.01,0.2,0.01,0.01,0,0.53299,324,,
17,4,0.01,0.2,0.01,0.01,0,0.54061,340,,
17,5,0.01,0.2,0.01,0.01,0,0.52919,304,,
17,6,0.01,0.2,0.01,0.01,0,0.55203,340,,
17,7,0.01,0.2,0.01,0.01,0,0.51523,332,,
17,8,0.01,0.2,0.01,0.01,0,0.56218,304,,
17,9,0.01,0.2,0.01,0.01,0,0.55203,320,,
17,10,0.01,0.2,0.01,0.01,0,0.52157,348,,
17,11,0.01,0.2,0.01,0.01,0,0.52792,340,,
17,12,0.01,0.2,0.01,0.01,0,0.53046,316,,
17,13,0.01,0.2,0.01,0.01,0,0.49492,376,,
17,14,0.01,0.2,0.01,0.01,0,0.5165,340,,
17,15,0.01,0.2,0.01,0.01,0,0.52665,340,,
17,16,0.01,0.2,0.01,0.01,0,0.57107,312,,
17,17,0.01,0.2,0.01,0.01,0,0.54061,324,332.235294117647,4.4254689114833
18,1,0.01,0.2,0.01,0.01,0,0.59195,284,,
18,2,0.01,0.2,0.01,0.01,0,0.63624,240,,
18,3,0.01,0.2,0.01,0.01,0,0.62282,280,,
18,4,0.01,0.2,0.01,0.01,0,0.54497,352,,
18,5,0.01,0.2,0.01,0.01,0,0.59732,300,,
18,6,0.01,0.2,0.01,0.01,0,0.60134,292,,
18,7,0.01,0.2,0.01,0.01,0,0.56779,304,,
18,8,0.01,0.2,0.01,0.01,0,0.61879,264,,
18,9,0.01,0.2,0.01,0.01,0,0.59732,276,,
18,10,0.01,0.2,0.01,0.01,0,0.57852,304,,
18,11,0.01,0.2,0.01,0.01,0,0.58658,316,,
18,12,0.01,0.2,0.01,0.01,0,0.59597,268,,
18,13,0.01,0.2,0.01,0.01,0,0.59732,272,,
18,14,0.01,0.2,0.01,0.01,0,0.54362,352,,
18,15,0.01,0.2,0.01,0.01,0,0.62282,284,,
18,16,0.01,0.2,0.01,0.01,0,0.61208,288,,
18,17,0.01,0.2,0.01,0.01,0,0.5906,296,,
18,18,0.01,0.2,0.01,0.01,0,0.60134,292,292.444444444444,6.55505703211367
19,1,0.01,0.2,0.01,0.01,0,0.72199,192,,
19,2,0.01,0.2,0.01,0.01,0,0.67801,236,,
19,3,0.01,0.2,0.01,0.01,0,0.72766,204,,
19,4,0.01,0.2,0.01,0.01,0,0.73333,172,,
19,5,0.01,0.2,0.01,0.01,0,0.73475,172,,
19,6,0.01,0.2,0.01,0.01,0,0.7234,160,,
19,7,0.01,0.2,0.01,0.01,0,0.68794,240,,
19,8,0.01,0.2,0.01,0.01,0,0.72908,172,,
19,9,0.01,0.2,0.01,0.01,0,0.7461,180,,
19,10,0.01,0.2,0.01,0.01,0,0.72199,196,,
19,11,0.01,0.2,0.01,0.01,0,0.69787,216,,
19,12,0.01,0.2,0.01,0.01,0,0.69362,228,,
19,13,0.01,0.2,0.01,0.01,0,0.73191,168,,
19,14,0.01,0.2,0.01,0.01,0,0.72482,224,,
19,15,0.01,0.2,0.01,0.01,0,0.69929,196,,
19,16,0.01,0.2,0.01,0.01,0,0.72624,204,,
19,17,0.01,0.2,0.01,0.01,0,0.69504,224,,
19,18,0.01,0.2,0.01,0.01,0,0.73191,192,,
19,19,0.01,0.2,0.01,0.01,0,0.73475,172,197.263157894737,5.74753550300162
20,1,0.01,0.2,0.01,0.01,0,0.71493,192,,
20,2,0.01,0.2,0.01,0.01,0,0.73881,132,,
20,3,0.01,0.2,0.01,0.01,0,0.71642,208,,
20,4,0.01,0.2,0.01,0.01,0,0.74627,188,,
20,5,0.01,0.2,0.01,0.01,0,0.71642,208,,
20,6,0.01,0.2,0.01,0.01,0,0.72239,184,,
20,7,0.01,0.2,0.01,0.01,0,0.72687,156,,
20,8,0.01,0.2,0.01,0.01,0,0.71791,204,,
20,9,0.01,0.2,0.01,0.01,0,0.7209,180,,
20,10,0.01,0.2,0.01,0.01,0,0.72388,196,,
20,11,0.01,0.2,0.01,0.01,0,0.74179,164,,
20,12,0.01,0.2,0.01,0.01,0,0.74925,176,,
20,13,0.01,0.2,0.01,0.01,0,0.7,192,,
20,14,0.01,0.2,0.01,0.01,0,0.73284,192,,
20,15,0.01,0.2,0.01,0.01,0,0.69701,204,,
20,16,0.01,0.2,0.01,0.01,0,0.7194,204,,
20,17,0.01,0.2,0.01,0.01,0,0.70597,196,,
20,18,0.01,0.2,0.01,0.01,0,0.7209,176,,
20,19,0.01,0.2,0.01,0.01,0,0.73433,180,,
20,20,0.01,0.2,0.01,0.01,0,0.7209,196,186.4,4.26885908583744
0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,,
