Pech,in,fdb,int,w_d,TrErr,TrErr,Score,,
,0.1,0.6,0.01,0.01,0.13575,0.26417,464,,
,0.001,0.8,0.01,0.01,0.33646,0.50735,344,,
,0.01,0.8,0.01,0.01,0.075953,0.21347,496,,
,0.1,0.8,0.01,0.01,0.13573,0.26402,460,,
,0.001,1,0.01,0.01,0.33509,0.45019,376,,
,0.01,1,0.01,0.01,0.064923,0.19986,516,,
0.96,0.1,1,0.01,0.01,0.13751,0.27086,448,,448.444444444445
,0.001,0,0.01,0.01,0.20209,0.32665,408,,
,0.01,0,0.01,0.01,0.1123,0.23379,488,,
,0.1,0,0.01,0.01,0.13769,0.27356,460,,
,0.001,0.2,0.01,0.01,0.19926,0.33283,416,,
,0.01,0.2,0.01,0.01,0.10373,0.2309,492,,
,0.1,0.2,0.01,0.01,0.13476,0.26625,464,,
,0.001,0.4,0.01,0.01,0.21284,0.37267,392,,
,0.01,0.4,0.01,0.01,0.09568,0.22442,504,,
,0.1,0.4,0.01,0.01,0.13455,0.26472,456,,
,0.001,0.6,0.01,0.01,0.2822,0.49493,340,,
,0.01,0.6,0.01,0.01,0.087833,0.21978,496,,
,0.1,0.6,0.01,0.01,0.13615,0.26472,456,,
,0.001,0.8,0.01,0.01,0.33973,0.52122,352,,
,0.01,0.8,0.01,0.01,0.076642,0.21391,500,,
,0.1,0.8,0.01,0.01,0.13651,0.26358,456,,
,0.001,1,0.01,0.01,0.33423,0.45418,384,,
,0.01,1,0.01,0.01,0.065811,0.19974,508,,
0.98,0.1,1,0.01,0.01,0.13733,0.26876,444,,445.333333333333
,0.001,0,0.01,0.01,0.20307,0.32813,408,,
,0.01,0,0.01,0.01,0.11293,0.23421,484,,
,0.1,0,0.01,0.01,0.13839,0.27266,452,,
,0.001,0.2,0.01,0.01,0.19969,0.33179,416,,
,0.01,0.2,0.01,0.01,0.10433,0.231,488,,
,0.1,0.2,0.01,0.01,0.13502,0.26684,464,,
,0.001,0.4,0.01,0.01,0.21522,0.37173,404,,
,0.01,0.4,0.01,0.01,0.095961,0.22279,500,,
,0.1,0.4,0.01,0.01,0.13507,0.26497,464,,
,0.001,0.6,0.01,0.01,0.28271,0.49761,336,,
,0.01,0.6,0.01,0.01,0.088321,0.22017,492,,
,0.1,0.6,0.01,0.01,0.13625,0.26497,468,,
,0.001,0.8,0.01,0.01,0.34295,0.5106,344,,
,0.01,0.8,0.01,0.01,0.07753,0.21308,504,,
,0.1,0.8,0.01,0.01,0.13648,0.26475,452,,
,0.001,1,0.01,0.01,0.33591,0.44983,376,,
,0.01,1,0.01,0.01,0.066285,0.20069,508,,
1,0.1,1,0.01,0.01,0.13812,0.2702,444,,444.666666666667
